case_id,process_activity,Auftragsnummer,Versand_ID,Verladestart,Verladeende,Versand_SOLL,Lagereinheit_ID,Packplatz,Packzeitpunkt,Menge,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt,Verspaetung,Lagerort
1007_237_26,Ware vereinnahmen,1007,26,26.04.2022 18:33,26.04.2022 18:41,26.04.2022 19:03,237,Packplatz 03,26.04.2022 17:40,376,Wareneingang,Hochregallager,??? ,2022-04-26 04:12:00,False,Wareneingang
1007_237_26,Waren lagern,1007,26,26.04.2022 18:33,26.04.2022 18:41,26.04.2022 19:03,237,Packplatz 03,26.04.2022 17:40,376,Hochregallager,Hochregallager,2022-04-26 06:03:00,2022-04-26 10:33:00,False,Hochregallager
1007_237_26,Waren kommissionieren,1007,26,26.04.2022 18:33,26.04.2022 18:41,26.04.2022 19:03,237,Packplatz 03,26.04.2022 17:40,376,Hochregallager,Packplatz,2022-04-26 13:52:00,???,False,Packplatz
1010_302_45,Ware vereinnahmen,1010,45,26.04.2022 18:43,26.04.2022 21:20,26.04.2022 19:13,302,Packplatz 01,26.04.2022 17:05,65,Wareneingang,Hochregallager,??? ,2022-04-26 02:17:00,True,Wareneingang
1010_302_45,Waren lagern,1010,45,26.04.2022 18:43,26.04.2022 21:20,26.04.2022 19:13,302,Packplatz 01,26.04.2022 17:05,65,Hochregallager,Hochregallager,2022-04-26 04:41:00,2022-04-26 12:40:00,True,Hochregallager
1010_302_45,Waren kommissionieren,1010,45,26.04.2022 18:43,26.04.2022 21:20,26.04.2022 19:13,302,Packplatz 01,26.04.2022 17:05,65,Hochregallager,Packplatz,2022-04-26 14:47:00,???,True,Packplatz
1015_800_64,Ware vereinnahmen,1015,64,26.04.2022 16:30,26.04.2022 20:17,26.04.2022 17:00,800,Packplatz 10,26.04.2022 15:11,306,Wareneingang,Hochregallager,??? ,2022-04-26 13:52:00,True,Wareneingang
1015_800_64,Waren lagern,1015,64,26.04.2022 16:30,26.04.2022 20:17,26.04.2022 17:00,800,Packplatz 10,26.04.2022 15:11,306,Hochregallager,Hochregallager,2022-04-26 14:58:00,2022-04-26 10:16:00,True,Hochregallager
1015_800_64,Waren kommissionieren,1015,64,26.04.2022 16:30,26.04.2022 20:17,26.04.2022 17:00,800,Packplatz 10,26.04.2022 15:11,306,Hochregallager,Packplatz,2022-04-26 12:36:00,???,True,Packplatz
1021_227_59,Ware vereinnahmen,1021,59,26.04.2022 16:22,26.04.2022 17:09,26.04.2022 16:52,227,Packplatz 01,26.04.2022 15:12,183,Wareneingang,Hochregallager,??? ,2022-04-25 22:46:00,True,Wareneingang
1021_227_59,Waren lagern,1021,59,26.04.2022 16:22,26.04.2022 17:09,26.04.2022 16:52,227,Packplatz 01,26.04.2022 15:12,183,Hochregallager,Hochregallager,2022-04-26 01:45:00,2022-04-26 12:30:00,True,Hochregallager
1021_227_59,Waren kommissionieren,1021,59,26.04.2022 16:22,26.04.2022 17:09,26.04.2022 16:52,227,Packplatz 01,26.04.2022 15:12,183,Hochregallager,Packplatz,2022-04-26 13:14:00,???,True,Packplatz
1034_404_51,Ware vereinnahmen,1034,51,26.04.2022 21:56,26.04.2022 23:24,26.04.2022 22:26,404,Packplatz 06,26.04.2022 19:40,60,Wareneingang,Hochregallager,??? ,2022-04-26 11:57:00,True,Wareneingang
1034_404_51,Waren lagern,1034,51,26.04.2022 21:56,26.04.2022 23:24,26.04.2022 22:26,404,Packplatz 06,26.04.2022 19:40,60,Hochregallager,Hochregallager,2022-04-26 12:59:00,2022-04-26 13:55:00,True,Hochregallager
1034_404_51,Waren kommissionieren,1034,51,26.04.2022 21:56,26.04.2022 23:24,26.04.2022 22:26,404,Packplatz 06,26.04.2022 19:40,60,Hochregallager,Packplatz,2022-04-26 16:13:00,???,True,Packplatz
1082_320_39,Ware vereinnahmen,1082,39,26.04.2022 19:16,26.04.2022 19:21,26.04.2022 19:46,320,Packplatz 08,26.04.2022 17:13,250,Wareneingang,Hochregallager,??? ,2022-04-26 13:25:00,False,Wareneingang
1082_320_39,Waren lagern,1082,39,26.04.2022 19:16,26.04.2022 19:21,26.04.2022 19:46,320,Packplatz 08,26.04.2022 17:13,250,Hochregallager,Hochregallager,2022-04-26 15:20:00,2022-04-26 14:20:00,False,Hochregallager
1082_320_39,Waren kommissionieren,1082,39,26.04.2022 19:16,26.04.2022 19:21,26.04.2022 19:46,320,Packplatz 08,26.04.2022 17:13,250,Hochregallager,Packplatz,2022-04-26 14:55:00,???,False,Packplatz
1098_382_31,Ware vereinnahmen,1098,31,26.04.2022 18:00,26.04.2022 19:07,26.04.2022 18:30,382,Packplatz 10,26.04.2022 15:56,8,Wareneingang,Hochregallager,??? ,2022-04-26 07:12:00,True,Wareneingang
1098_382_31,Waren lagern,1098,31,26.04.2022 18:00,26.04.2022 19:07,26.04.2022 18:30,382,Packplatz 10,26.04.2022 15:56,8,Hochregallager,Hochregallager,2022-04-26 08:40:00,2022-04-26 10:14:00,True,Hochregallager
1098_382_31,Waren kommissionieren,1098,31,26.04.2022 18:00,26.04.2022 19:07,26.04.2022 18:30,382,Packplatz 10,26.04.2022 15:56,8,Hochregallager,Packplatz,2022-04-26 12:20:00,???,True,Packplatz
1105_350_97,Ware vereinnahmen,1105,97,26.04.2022 18:10,26.04.2022 20:26,26.04.2022 18:40,350,Packplatz 01,26.04.2022 18:43,81,Wareneingang,Hochregallager,??? ,2022-04-26 02:19:00,True,Wareneingang
1105_350_97,Waren lagern,1105,97,26.04.2022 18:10,26.04.2022 20:26,26.04.2022 18:40,350,Packplatz 01,26.04.2022 18:43,81,Hochregallager,Hochregallager,2022-04-26 05:24:00,2022-04-26 17:29:00,True,Hochregallager
1105_350_97,Waren kommissionieren,1105,97,26.04.2022 18:10,26.04.2022 20:26,26.04.2022 18:40,350,Packplatz 01,26.04.2022 18:43,81,Hochregallager,Packplatz,2022-04-26 18:28:00,???,True,Packplatz
1105_350_18,Ware vereinnahmen,1105,18,26.04.2022 18:48,26.04.2022 18:59,26.04.2022 19:18,350,Packplatz 01,26.04.2022 18:43,81,Wareneingang,Hochregallager,??? ,2022-04-26 02:19:00,False,Wareneingang
1105_350_18,Waren lagern,1105,18,26.04.2022 18:48,26.04.2022 18:59,26.04.2022 19:18,350,Packplatz 01,26.04.2022 18:43,81,Hochregallager,Hochregallager,2022-04-26 05:24:00,2022-04-26 17:29:00,False,Hochregallager
1105_350_18,Waren kommissionieren,1105,18,26.04.2022 18:48,26.04.2022 18:59,26.04.2022 19:18,350,Packplatz 01,26.04.2022 18:43,81,Hochregallager,Packplatz,2022-04-26 18:28:00,???,False,Packplatz
1105_641_97,Ware vereinnahmen,1105,97,26.04.2022 18:10,26.04.2022 20:26,26.04.2022 18:40,641,Packplatz 06,26.04.2022 17:49,385,Wareneingang,Hochregallager,??? ,2022-04-26 12:49:00,True,Wareneingang
1105_641_97,Waren lagern,1105,97,26.04.2022 18:10,26.04.2022 20:26,26.04.2022 18:40,641,Packplatz 06,26.04.2022 17:49,385,Hochregallager,Hochregallager,2022-04-26 12:52:00,2022-04-26 09:41:00,True,Hochregallager
1105_641_97,Waren kommissionieren,1105,97,26.04.2022 18:10,26.04.2022 20:26,26.04.2022 18:40,641,Packplatz 06,26.04.2022 17:49,385,Hochregallager,Packplatz,2022-04-26 12:32:00,???,True,Packplatz
1105_641_18,Ware vereinnahmen,1105,18,26.04.2022 18:48,26.04.2022 18:59,26.04.2022 19:18,641,Packplatz 06,26.04.2022 17:49,385,Wareneingang,Hochregallager,??? ,2022-04-26 12:49:00,False,Wareneingang
1105_641_18,Waren lagern,1105,18,26.04.2022 18:48,26.04.2022 18:59,26.04.2022 19:18,641,Packplatz 06,26.04.2022 17:49,385,Hochregallager,Hochregallager,2022-04-26 12:52:00,2022-04-26 09:41:00,False,Hochregallager
