case_id,process_activity,Auftragsnummer,Menge,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt,Verspaetung,Lagerort
1007_237_26,Ware vereinnahmen,1007,376,Wareneingang,Hochregallager,??? ,2022-04-26 04:12:00,False,Wareneingang
1007_237_26,Waren lagern,1007,376,Hochregallager,Hochregallager,2022-04-26 06:03:00,2022-04-26 10:33:00,False,Hochregallager
1007_237_26,Waren kommissionieren,1007,376,Hochregallager,Packplatz,2022-04-26 13:52:00,???,False,Packplatz
1010_302_45,Ware vereinnahmen,1010,65,Wareneingang,Hochregallager,??? ,2022-04-26 02:17:00,True,Wareneingang
1010_302_45,Waren lagern,1010,65,Hochregallager,Hochregallager,2022-04-26 04:41:00,2022-04-26 12:40:00,True,Hochregallager
1010_302_45,Waren kommissionieren,1010,65,Hochregallager,Packplatz,2022-04-26 14:47:00,???,True,Packplatz
1015_800_64,Ware vereinnahmen,1015,306,Wareneingang,Hochregallager,??? ,2022-04-26 13:52:00,True,Wareneingang
1015_800_64,Waren lagern,1015,306,Hochregallager,Hochregallager,2022-04-26 14:58:00,2022-04-26 10:16:00,True,Hochregallager
1015_800_64,Waren kommissionieren,1015,306,Hochregallager,Packplatz,2022-04-26 12:36:00,???,True,Packplatz
1021_227_59,Ware vereinnahmen,1021,183,Wareneingang,Hochregallager,??? ,2022-04-25 22:46:00,True,Wareneingang
1021_227_59,Waren lagern,1021,183,Hochregallager,Hochregallager,2022-04-26 01:45:00,2022-04-26 12:30:00,True,Hochregallager
1021_227_59,Waren kommissionieren,1021,183,Hochregallager,Packplatz,2022-04-26 13:14:00,???,True,Packplatz
1034_404_51,Ware vereinnahmen,1034,60,Wareneingang,Hochregallager,??? ,2022-04-26 11:57:00,True,Wareneingang
1034_404_51,Waren lagern,1034,60,Hochregallager,Hochregallager,2022-04-26 12:59:00,2022-04-26 13:55:00,True,Hochregallager
1034_404_51,Waren kommissionieren,1034,60,Hochregallager,Packplatz,2022-04-26 16:13:00,???,True,Packplatz
1082_320_39,Ware vereinnahmen,1082,250,Wareneingang,Hochregallager,??? ,2022-04-26 13:25:00,False,Wareneingang
1082_320_39,Waren lagern,1082,250,Hochregallager,Hochregallager,2022-04-26 15:20:00,2022-04-26 14:20:00,False,Hochregallager
1082_320_39,Waren kommissionieren,1082,250,Hochregallager,Packplatz,2022-04-26 14:55:00,???,False,Packplatz
1098_382_31,Ware vereinnahmen,1098,8,Wareneingang,Hochregallager,??? ,2022-04-26 07:12:00,True,Wareneingang
1098_382_31,Waren lagern,1098,8,Hochregallager,Hochregallager,2022-04-26 08:40:00,2022-04-26 10:14:00,True,Hochregallager
1098_382_31,Waren kommissionieren,1098,8,Hochregallager,Packplatz,2022-04-26 12:20:00,???,True,Packplatz
1105_350_97,Ware vereinnahmen,1105,81,Wareneingang,Hochregallager,??? ,2022-04-26 02:19:00,True,Wareneingang
1105_350_97,Waren lagern,1105,81,Hochregallager,Hochregallager,2022-04-26 05:24:00,2022-04-26 17:29:00,True,Hochregallager
1105_350_97,Waren kommissionieren,1105,81,Hochregallager,Packplatz,2022-04-26 18:28:00,???,True,Packplatz
1105_350_18,Ware vereinnahmen,1105,81,Wareneingang,Hochregallager,??? ,2022-04-26 02:19:00,False,Wareneingang
1105_350_18,Waren lagern,1105,81,Hochregallager,Hochregallager,2022-04-26 05:24:00,2022-04-26 17:29:00,False,Hochregallager
1105_350_18,Waren kommissionieren,1105,81,Hochregallager,Packplatz,2022-04-26 18:28:00,???,False,Packplatz
1105_641_97,Ware vereinnahmen,1105,385,Wareneingang,Hochregallager,??? ,2022-04-26 12:49:00,True,Wareneingang
1105_641_97,Waren lagern,1105,385,Hochregallager,Hochregallager,2022-04-26 12:52:00,2022-04-26 09:41:00,True,Hochregallager
1105_641_97,Waren kommissionieren,1105,385,Hochregallager,Packplatz,2022-04-26 12:32:00,???,True,Packplatz
1105_641_18,Ware vereinnahmen,1105,385,Wareneingang,Hochregallager,??? ,2022-04-26 12:49:00,False,Wareneingang
1105_641_18,Waren lagern,1105,385,Hochregallager,Hochregallager,2022-04-26 12:52:00,2022-04-26 09:41:00,False,Hochregallager
1105_641_18,Waren kommissionieren,1105,385,Hochregallager,Packplatz,2022-04-26 12:32:00,???,False,Packplatz
1114_236_50,Ware vereinnahmen,1114,216,Wareneingang,Hochregallager,??? ,2022-04-26 05:43:00,True,Wareneingang
1114_236_50,Waren lagern,1114,216,Hochregallager,Hochregallager,2022-04-26 08:22:00,2022-04-26 15:41:00,True,Hochregallager
1114_236_50,Waren kommissionieren,1114,216,Hochregallager,Packplatz,2022-04-26 18:47:00,???,True,Packplatz
1139_500_33,Ware vereinnahmen,1139,161,Wareneingang,Hochregallager,??? ,2022-04-26 07:21:00,True,Wareneingang
1139_500_33,Waren lagern,1139,161,Hochregallager,Hochregallager,2022-04-26 10:10:00,2022-04-26 12:27:00,True,Hochregallager
1139_500_33,Waren kommissionieren,1139,161,Hochregallager,Packplatz,2022-04-26 16:17:00,???,True,Packplatz
1142_942_10,Ware vereinnahmen,1142,399,Wareneingang,Hochregallager,??? ,2022-04-26 07:13:00,True,Wareneingang
1142_942_10,Waren lagern,1142,399,Hochregallager,Hochregallager,2022-04-26 10:51:00,2022-04-26 16:17:00,True,Hochregallager
1142_942_10,Waren kommissionieren,1142,399,Hochregallager,Packplatz,2022-04-26 18:43:00,???,True,Packplatz
1147_351_78,Ware vereinnahmen,1147,291,Wareneingang,Hochregallager,??? ,2022-04-26 03:06:00,True,Wareneingang
1147_351_78,Waren lagern,1147,291,Hochregallager,Hochregallager,2022-04-26 05:25:00,2022-04-26 13:16:00,True,Hochregallager
1147_351_78,Waren kommissionieren,1147,291,Hochregallager,Packplatz,2022-04-26 17:10:00,???,True,Packplatz
1156_865_18,Ware vereinnahmen,1156,61,Wareneingang,Hochregallager,??? ,2022-04-26 08:29:00,True,Wareneingang
1156_865_18,Waren lagern,1156,61,Hochregallager,Hochregallager,2022-04-26 09:48:00,2022-04-26 14:50:00,True,Hochregallager
