Auftragsnummer,Versand_ID,Verladestart,Verladeende,Versand_SOLL
8982,71,26.04.2022 19:54,26.04.2022 20:37,26.04.2022 20:24
7386,36,26.04.2022 19:23,26.04.2022 23:20,26.04.2022 19:53
1834,16,26.04.2022 16:03,26.04.2022 19:31,26.04.2022 16:33
2872,56,26.04.2022 17:29,26.04.2022 18:42,26.04.2022 17:59
8389,95,26.04.2022 15:13,26.04.2022 15:27,26.04.2022 15:43
8992,52,26.04.2022 16:08,26.04.2022 17:14,26.04.2022 16:38
4492,64,26.04.2022 16:50,26.04.2022 18:25,26.04.2022 17:20
2100,91,26.04.2022 17:24,26.04.2022 19:52,26.04.2022 17:54
3302,21,26.04.2022 19:15,26.04.2022 21:02,26.04.2022 19:45
1147,78,26.04.2022 20:21,26.04.2022 23:07,26.04.2022 20:51
5089,29,26.04.2022 17:20,26.04.2022 19:29,26.04.2022 17:50
7597,49,26.04.2022 18:40,26.04.2022 20:03,26.04.2022 19:10
5244,63,26.04.2022 21:11,27.04.2022 00:37,26.04.2022 21:41
3962,50,26.04.2022 16:44,26.04.2022 20:09,26.04.2022 17:14
9151,76,26.04.2022 19:38,26.04.2022 22:22,26.04.2022 20:08
3594,94,26.04.2022 19:54,26.04.2022 21:38,26.04.2022 20:24
5197,29,26.04.2022 17:27,26.04.2022 21:05,26.04.2022 17:57
6783,53,26.04.2022 19:55,26.04.2022 21:22,26.04.2022 20:25
5491,56,26.04.2022 19:52,26.04.2022 20:21,26.04.2022 20:22
5252,51,26.04.2022 19:13,26.04.2022 22:04,26.04.2022 19:43
6271,63,26.04.2022 21:01,26.04.2022 21:55,26.04.2022 21:31
8084,78,26.04.2022 21:09,27.04.2022 00:11,26.04.2022 21:39
4907,27,26.04.2022 20:54,26.04.2022 22:18,26.04.2022 21:24
3223,12,26.04.2022 20:36,26.04.2022 23:04,26.04.2022 21:06
1657,31,26.04.2022 16:49,26.04.2022 18:33,26.04.2022 17:19
7380,40,26.04.2022 19:01,26.04.2022 21:36,26.04.2022 19:31
4046,36,26.04.2022 18:19,26.04.2022 22:19,26.04.2022 18:49
1792,58,26.04.2022 19:30,26.04.2022 20:45,26.04.2022 20:00
6630,72,26.04.2022 17:51,26.04.2022 19:14,26.04.2022 18:21
6264,37,26.04.2022 21:28,26.04.2022 22:21,26.04.2022 21:58
8653,96,26.04.2022 16:49,26.04.2022 19:27,26.04.2022 17:19
5290,51,26.04.2022 20:21,26.04.2022 21:04,26.04.2022 20:51
3098,29,26.04.2022 19:36,26.04.2022 20:08,26.04.2022 20:06
8688,29,26.04.2022 17:57,26.04.2022 20:34,26.04.2022 18:27
8332,49,26.04.2022 16:27,26.04.2022 17:29,26.04.2022 16:57
9268,29,26.04.2022 21:47,27.04.2022 00:00,26.04.2022 22:17
2953,86,26.04.2022 15:38,26.04.2022 19:15,26.04.2022 16:08
6797,84,26.04.2022 17:59,26.04.2022 19:07,26.04.2022 18:29
8331,99,26.04.2022 15:36,26.04.2022 16:26,26.04.2022 16:06
4085,66,26.04.2022 20:27,26.04.2022 23:53,26.04.2022 20:57
7026,71,26.04.2022 18:10,26.04.2022 18:48,26.04.2022 18:40
1418,16,26.04.2022 22:07,26.04.2022 22:33,26.04.2022 22:37
7406,76,26.04.2022 21:21,26.04.2022 21:30,26.04.2022 21:51
7378,66,26.04.2022 18:51,26.04.2022 20:56,26.04.2022 19:21
2939,47,26.04.2022 17:18,26.04.2022 21:05,26.04.2022 17:48
2751,90,26.04.2022 19:26,26.04.2022 20:25,26.04.2022 19:56
6540,56,26.04.2022 18:34,26.04.2022 19:16,26.04.2022 19:04
5098,31,26.04.2022 18:45,26.04.2022 21:36,26.04.2022 19:15
8376,86,26.04.2022 18:44,26.04.2022 20:55,26.04.2022 19:14
