Lagereinheit_ID,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt
443,Hochregallager,Packplatz,2022-04-26 16:13:00,2022-04-26 16:25:00
443,Wareneingang,Hochregallager,2022-04-26 10:31:00,2022-04-26 12:53:00
520,Hochregallager,Packplatz,2022-04-26 12:45:00,2022-04-26 15:52:00
520,Wareneingang,Hochregallager,2022-04-26 04:02:00,2022-04-26 07:01:00
259,Hochregallager,Packplatz,2022-04-26 11:20:00,2022-04-26 13:31:00
259,Wareneingang,Hochregallager,2022-04-26 10:38:00,2022-04-26 10:47:00
600,Hochregallager,Packplatz,2022-04-26 12:08:00,2022-04-26 14:02:00
600,Wareneingang,Hochregallager,2022-04-26 01:52:00,2022-04-26 02:18:00
452,Hochregallager,Packplatz,2022-04-26 09:41:00,2022-04-26 11:13:00
452,Wareneingang,Hochregallager,2022-04-26 09:25:00,2022-04-26 09:35:00
536,Hochregallager,Packplatz,2022-04-26 13:01:00,2022-04-26 14:19:00
536,Wareneingang,Hochregallager,2022-04-26 06:54:00,2022-04-26 08:15:00
129,Hochregallager,Packplatz,2022-04-26 07:06:00,2022-04-26 10:49:00
129,Wareneingang,Hochregallager,2022-04-26 07:32:00,2022-04-26 10:49:00
856,Hochregallager,Packplatz,2022-04-26 11:06:00,2022-04-26 12:34:00
856,Wareneingang,Hochregallager,2022-04-25 20:26:00,2022-04-25 23:32:00
486,Hochregallager,Packplatz,2022-04-26 15:29:00,2022-04-26 15:43:00
486,Wareneingang,Hochregallager,2022-04-26 05:38:00,2022-04-26 06:28:00
351,Hochregallager,Packplatz,2022-04-26 13:16:00,2022-04-26 17:10:00
351,Wareneingang,Hochregallager,2022-04-26 03:06:00,2022-04-26 05:25:00
618,Hochregallager,Packplatz,2022-04-26 10:27:00,2022-04-26 11:57:00
618,Wareneingang,Hochregallager,2022-04-26 05:24:00,2022-04-26 09:20:00
804,Hochregallager,Packplatz,2022-04-26 11:22:00,2022-04-26 14:44:00
