Auftragsnummer,Versand_ID,Verladestart,Verladeende,Versand_SOLL,Lagereinheit_ID,Packplatz,Packzeitpunkt,Menge,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt
1007,26,26.04.2022 18:33,26.04.2022 18:41,26.04.2022 19:03,237,Packplatz 03,26.04.2022 17:40,376,Wareneingang,Hochregallager,2022-04-26 04:12:00,2022-04-26 06:03:00
1007,26,26.04.2022 18:33,26.04.2022 18:41,26.04.2022 19:03,237,Packplatz 03,26.04.2022 17:40,376,Hochregallager,Packplatz,2022-04-26 10:33:00,2022-04-26 13:52:00
1010,45,26.04.2022 18:43,26.04.2022 21:20,26.04.2022 19:13,302,Packplatz 01,26.04.2022 17:05,65,Wareneingang,Hochregallager,2022-04-26 02:17:00,2022-04-26 04:41:00
1010,45,26.04.2022 18:43,26.04.2022 21:20,26.04.2022 19:13,302,Packplatz 01,26.04.2022 17:05,65,Hochregallager,Packplatz,2022-04-26 12:40:00,2022-04-26 14:47:00
1015,64,26.04.2022 16:30,26.04.2022 20:17,26.04.2022 17:00,800,Packplatz 10,26.04.2022 15:11,306,Hochregallager,Packplatz,2022-04-26 10:16:00,2022-04-26 12:36:00
1015,64,26.04.2022 16:30,26.04.2022 20:17,26.04.2022 17:00,800,Packplatz 10,26.04.2022 15:11,306,Wareneingang,Hochregallager,2022-04-26 13:52:00,2022-04-26 14:58:00
1021,59,26.04.2022 16:22,26.04.2022 17:09,26.04.2022 16:52,227,Packplatz 01,26.04.2022 15:12,183,Wareneingang,Hochregallager,2022-04-25 22:46:00,2022-04-26 01:45:00
1021,59,26.04.2022 16:22,26.04.2022 17:09,26.04.2022 16:52,227,Packplatz 01,26.04.2022 15:12,183,Hochregallager,Packplatz,2022-04-26 12:30:00,2022-04-26 13:14:00
1034,51,26.04.2022 21:56,26.04.2022 23:24,26.04.2022 22:26,404,Packplatz 06,26.04.2022 19:40,60,Wareneingang,Hochregallager,2022-04-26 11:57:00,2022-04-26 12:59:00
1034,51,26.04.2022 21:56,26.04.2022 23:24,26.04.2022 22:26,404,Packplatz 06,26.04.2022 19:40,60,Hochregallager,Packplatz,2022-04-26 13:55:00,2022-04-26 16:13:00
