Lagereinheit_ID,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt
918,Hochregallager,Packplatz,2022-07-18 16:33:00,2022-07-18 19:17:00
918,Wareneingang,Hochregallager,2022-07-18 11:41:00,2022-07-18 15:30:00
529,Hochregallager,Packplatz,2022-07-18 12:51:00,2022-07-18 14:44:00
529,Wareneingang,Hochregallager,2022-07-18 09:53:00,2022-07-18 11:09:00
475,Hochregallager,Packplatz,2022-07-18 18:18:00,2022-07-18 21:56:00
475,Wareneingang,Hochregallager,2022-07-18 09:05:00,2022-07-18 09:14:00
719,Hochregallager,Packplatz,2022-07-18 13:49:00,2022-07-18 15:57:00
719,Wareneingang,Hochregallager,2022-07-18 03:12:00,2022-07-18 06:25:00
766,Hochregallager,Packplatz,2022-07-18 14:04:00,2022-07-18 17:45:00
766,Wareneingang,Hochregallager,2022-07-18 13:33:00,2022-07-18 17:02:00
103,Hochregallager,Packplatz,2022-07-18 16:47:00,2022-07-18 17:16:00
103,Wareneingang,Hochregallager,2022-07-18 05:52:00,2022-07-18 06:13:00
488,Hochregallager,Packplatz,2022-07-18 12:59:00,2022-07-18 14:58:00
488,Wareneingang,Hochregallager,2022-07-18 09:56:00,2022-07-18 13:32:00
663,Hochregallager,Packplatz,2022-07-18 18:22:00,2022-07-18 18:34:00
663,Wareneingang,Hochregallager,2022-07-18 01:00:00,2022-07-18 02:53:00
984,Hochregallager,Packplatz,2022-07-18 18:43:00,2022-07-18 19:08:00
984,Wareneingang,Hochregallager,2022-07-18 12:33:00,2022-07-18 13:52:00
513,Hochregallager,Packplatz,2022-07-18 18:30:00,2022-07-18 19:20:00
513,Wareneingang,Hochregallager,2022-07-18 07:42:00,2022-07-18 10:22:00
763,Hochregallager,Packplatz,2022-07-18 10:49:00,2022-07-18 14:12:00
763,Wareneingang,Hochregallager,2022-07-18 11:35:00,2022-07-18 14:27:00
649,Hochregallager,Packplatz,2022-07-18 15:50:00,2022-07-18 19:12:00
649,Wareneingang,Hochregallager,2022-07-18 01:40:00,2022-07-18 03:22:00
846,Hochregallager,Packplatz,2022-07-18 12:56:00,2022-07-18 13:02:00
846,Wareneingang,Hochregallager,2022-07-18 08:57:00,2022-07-18 12:04:00
487,Hochregallager,Packplatz,2022-07-18 17:31:00,2022-07-18 19:25:00
487,Wareneingang,Hochregallager,2022-07-18 06:00:00,2022-07-18 06:57:00
704,Hochregallager,Packplatz,2022-07-18 15:05:00,2022-07-18 16:37:00
704,Wareneingang,Hochregallager,2022-07-18 11:35:00,2022-07-18 14:57:00
780,Hochregallager,Packplatz,2022-07-18 16:38:00,2022-07-18 17:40:00
780,Wareneingang,Hochregallager,2022-07-17 20:59:00,2022-07-18 00:56:00
335,Hochregallager,Packplatz,2022-07-18 16:16:00,2022-07-18 19:59:00
335,Wareneingang,Hochregallager,2022-07-18 12:50:00,2022-07-18 16:18:00
723,Hochregallager,Packplatz,2022-07-18 15:48:00,2022-07-18 16:14:00
723,Wareneingang,Hochregallager,2022-07-18 09:28:00,2022-07-18 10:11:00
679,Hochregallager,Packplatz,2022-07-18 13:34:00,2022-07-18 16:45:00
679,Wareneingang,Hochregallager,2022-07-18 17:25:00,2022-07-18 18:03:00
919,Hochregallager,Packplatz,2022-07-18 19:20:00,2022-07-18 21:15:00
