Lagereinheit_ID,Packplatz,Auftragsnummer,Packzeitpunkt,Menge
918,Packplatz 02,5550,18.07.2022 22:55,169
529,Packplatz 06,2863,18.07.2022 16:50,404
475,Packplatz 10,8102,19.07.2022 00:13,157
719,Packplatz 04,9643,18.07.2022 19:11,55
766,Packplatz 02,2758,18.07.2022 20:54,256
103,Packplatz 09,1591,18.07.2022 20:14,297
488,Packplatz 02,9417,18.07.2022 15:56,197
663,Packplatz 02,2750,18.07.2022 22:16,64
984,Packplatz 06,2722,18.07.2022 20:41,307
513,Packplatz 04,4723,18.07.2022 19:57,297
763,Packplatz 02,9934,18.07.2022 17:52,243
649,Packplatz 02,4408,18.07.2022 21:17,416
846,Packplatz 01,5312,18.07.2022 16:07,182
487,Packplatz 06,9615,18.07.2022 19:30,111
704,Packplatz 03,2361,18.07.2022 17:25,133
780,Packplatz 08,8434,18.07.2022 20:16,495
335,Packplatz 08,2710,18.07.2022 22:56,318
723,Packplatz 01,1417,18.07.2022 20:13,219
679,Packplatz 02,9628,18.07.2022 19:25,408
919,Packplatz 06,8990,18.07.2022 22:52,250
459,Packplatz 08,9941,18.07.2022 20:47,50
383,Packplatz 01,1268,18.07.2022 20:59,68
883,Packplatz 07,6985,18.07.2022 19:55,99
298,Packplatz 07,2963,18.07.2022 20:52,199
775,Packplatz 04,2972,18.07.2022 19:06,80
155,Packplatz 09,1795,18.07.2022 20:00,94
124,Packplatz 09,4664,18.07.2022 22:07,254
476,Packplatz 04,3720,18.07.2022 18:09,206
721,Packplatz 09,1138,18.07.2022 20:24,388
531,Packplatz 05,2734,18.07.2022 22:01,155
859,Packplatz 05,9550,18.07.2022 23:49,21
691,Packplatz 09,6331,18.07.2022 21:33,464
186,Packplatz 10,7164,18.07.2022 18:33,221
747,Packplatz 04,5224,18.07.2022 20:06,269
600,Packplatz 05,7228,18.07.2022 21:50,41
803,Packplatz 01,1573,18.07.2022 19:17,358
260,Packplatz 01,5572,18.07.2022 15:54,119
314,Packplatz 09,4724,18.07.2022 21:39,173
422,Packplatz 10,7608,18.07.2022 21:21,176
358,Packplatz 03,6162,18.07.2022 17:25,350
890,Packplatz 04,8988,18.07.2022 23:23,386
185,Packplatz 03,4883,18.07.2022 21:18,464
109,Packplatz 05,9562,18.07.2022 21:20,400
398,Packplatz 05,6766,18.07.2022 17:07,344
641,Packplatz 02,4753,18.07.2022 19:04,358
544,Packplatz 10,6162,18.07.2022 20:33,472
555,Packplatz 04,6583,18.07.2022 22:25,383
433,Packplatz 03,4782,18.07.2022 20:41,425
911,Packplatz 05,1236,18.07.2022 20:39,96
905,Packplatz 10,2764,18.07.2022 15:13,463
343,Packplatz 06,9877,18.07.2022 23:20,454
307,Packplatz 07,3755,18.07.2022 18:42,169
482,Packplatz 08,2317,18.07.2022 22:14,91
719,Packplatz 10,8570,18.07.2022 16:09,15
301,Packplatz 01,8202,18.07.2022 20:25,372
503,Packplatz 02,8574,18.07.2022 20:18,79
597,Packplatz 10,3773,18.07.2022 20:15,351
157,Packplatz 07,9253,18.07.2022 18:46,52
132,Packplatz 04,9330,18.07.2022 16:13,328
875,Packplatz 05,9595,18.07.2022 22:51,409
902,Packplatz 01,4824,18.07.2022 21:59,168
674,Packplatz 05,8574,18.07.2022 22:58,281
558,Packplatz 01,4933,18.07.2022 22:34,204
565,Packplatz 06,7983,18.07.2022 18:13,35
162,Packplatz 07,6509,18.07.2022 21:26,380
621,Packplatz 07,7453,18.07.2022 21:52,209
786,Packplatz 01,3051,18.07.2022 22:10,415
806,Packplatz 01,5380,18.07.2022 19:58,274
703,Packplatz 04,1414,18.07.2022 21:07,168
190,Packplatz 02,5303,18.07.2022 21:36,68
779,Packplatz 02,7686,18.07.2022 19:57,132
556,Packplatz 07,7686,18.07.2022 18:11,178
523,Packplatz 04,4748,18.07.2022 21:24,20
643,Packplatz 04,8536,18.07.2022 17:37,498
757,Packplatz 10,3227,18.07.2022 17:17,332
327,Packplatz 05,4180,18.07.2022 22:40,201
480,Packplatz 05,3682,18.07.2022 18:50,45
449,Packplatz 01,5698,18.07.2022 18:51,51
676,Packplatz 10,5936,18.07.2022 22:04,226
249,Packplatz 08,8386,18.07.2022 16:42,149
657,Packplatz 04,5128,18.07.2022 20:02,375
582,Packplatz 05,7820,18.07.2022 22:26,175
159,Packplatz 04,4652,18.07.2022 16:03,275
826,Packplatz 07,1360,19.07.2022 01:01,124
303,Packplatz 02,6739,18.07.2022 19:04,44
871,Packplatz 06,6493,18.07.2022 23:07,74
370,Packplatz 04,9766,18.07.2022 17:39,428
814,Packplatz 06,3391,18.07.2022 20:16,251
634,Packplatz 03,1716,18.07.2022 21:44,312
948,Packplatz 09,2324,18.07.2022 19:48,218
552,Packplatz 02,2635,18.07.2022 19:34,294
450,Packplatz 07,2114,18.07.2022 20:12,185
688,Packplatz 01,7162,18.07.2022 18:26,57
682,Packplatz 09,6941,18.07.2022 20:51,87
430,Packplatz 08,6474,18.07.2022 19:38,138
335,Packplatz 04,4585,18.07.2022 21:13,154
770,Packplatz 06,5635,18.07.2022 18:46,22
138,Packplatz 09,4033,18.07.2022 22:48,215
699,Packplatz 04,1784,18.07.2022 19:31,385
284,Packplatz 04,6883,18.07.2022 18:03,307
602,Packplatz 10,2930,18.07.2022 19:59,34
638,Packplatz 09,4037,18.07.2022 20:55,144
364,Packplatz 01,2912,18.07.2022 13:16,138
910,Packplatz 03,2884,19.07.2022 00:41,197
528,Packplatz 08,2992,18.07.2022 20:57,352
474,Packplatz 04,8630,18.07.2022 19:23,131
474,Packplatz 06,1929,18.07.2022 18:23,104
234,Packplatz 09,9204,18.07.2022 17:54,198
417,Packplatz 09,2560,18.07.2022 20:59,59
838,Packplatz 06,1873,18.07.2022 23:01,400
563,Packplatz 08,8952,18.07.2022 23:02,273
278,Packplatz 06,4762,18.07.2022 21:29,417
561,Packplatz 04,2014,18.07.2022 19:43,79
490,Packplatz 05,1438,18.07.2022 18:04,214
210,Packplatz 08,8641,18.07.2022 20:20,326
160,Packplatz 09,3214,18.07.2022 19:39,3
468,Packplatz 03,1976,18.07.2022 13:55,267
787,Packplatz 10,5400,18.07.2022 19:08,486
958,Packplatz 05,9382,18.07.2022 16:50,138
242,Packplatz 02,1584,18.07.2022 20:31,62
722,Packplatz 04,7972,18.07.2022 23:37,383
364,Packplatz 06,7579,18.07.2022 22:04,487
680,Packplatz 07,8167,18.07.2022 18:59,161
414,Packplatz 06,4169,18.07.2022 20:05,251
566,Packplatz 03,4802,18.07.2022 22:17,301
778,Packplatz 04,7435,18.07.2022 23:20,363
804,Packplatz 05,1944,18.07.2022 20:40,117
926,Packplatz 03,2986,18.07.2022 17:22,216
352,Packplatz 01,3052,18.07.2022 16:34,163
217,Packplatz 02,1348,18.07.2022 21:28,155
649,Packplatz 05,3725,18.07.2022 18:04,141
301,Packplatz 10,2818,18.07.2022 21:56,72
893,Packplatz 05,9727,18.07.2022 21:02,79
886,Packplatz 09,6400,18.07.2022 18:57,176
696,Packplatz 10,2125,18.07.2022 23:03,66
661,Packplatz 06,1106,18.07.2022 17:08,465
960,Packplatz 06,6832,18.07.2022 19:57,419
574,Packplatz 05,5914,18.07.2022 22:42,189
568,Packplatz 08,6956,18.07.2022 21:05,385
614,Packplatz 10,2790,18.07.2022 17:18,336
987,Packplatz 05,3250,18.07.2022 23:39,145
826,Packplatz 05,8188,19.07.2022 01:01,91
727,Packplatz 06,4198,18.07.2022 15:12,380
599,Packplatz 10,6613,18.07.2022 21:29,31
728,Packplatz 03,9367,18.07.2022 21:49,155
881,Packplatz 05,9055,19.07.2022 00:02,89
375,Packplatz 04,9191,18.07.2022 18:53,303
592,Packplatz 08,6518,18.07.2022 20:30,48
676,Packplatz 06,5003,18.07.2022 20:20,324
642,Packplatz 03,1296,18.07.2022 21:59,5
394,Packplatz 04,1612,18.07.2022 20:22,296
397,Packplatz 05,7459,18.07.2022 23:18,237
104,Packplatz 05,3166,18.07.2022 20:17,51
707,Packplatz 01,2884,18.07.2022 17:53,187
993,Packplatz 07,5572,18.07.2022 21:22,148
963,Packplatz 08,8320,18.07.2022 16:25,335
157,Packplatz 02,7024,18.07.2022 21:31,407
279,Packplatz 01,7562,18.07.2022 23:03,2
974,Packplatz 04,4240,18.07.2022 19:11,90
818,Packplatz 06,2092,18.07.2022 17:12,66
537,Packplatz 07,9349,18.07.2022 18:27,377
314,Packplatz 07,9836,18.07.2022 17:00,79
688,Packplatz 01,3187,18.07.2022 17:01,445
443,Packplatz 06,5750,18.07.2022 21:33,398
203,Packplatz 06,2386,18.07.2022 17:31,34
328,Packplatz 10,6487,18.07.2022 21:47,456
587,Packplatz 08,4961,18.07.2022 18:04,203
427,Packplatz 10,4150,19.07.2022 00:50,444
933,Packplatz 02,4320,18.07.2022 23:29,404
861,Packplatz 03,5225,18.07.2022 19:45,370
282,Packplatz 01,2533,18.07.2022 16:20,415
861,Packplatz 10,9658,18.07.2022 19:56,480
494,Packplatz 09,4128,18.07.2022 18:12,330
288,Packplatz 07,4621,18.07.2022 19:24,476
222,Packplatz 01,6499,18.07.2022 17:17,481
189,Packplatz 03,1360,18.07.2022 22:05,422
589,Packplatz 08,9290,18.07.2022 19:06,23
992,Packplatz 03,3694,18.07.2022 21:22,386
314,Packplatz 06,8020,18.07.2022 15:49,490
953,Packplatz 06,9595,18.07.2022 18:39,306
825,Packplatz 01,9371,18.07.2022 21:26,289
480,Packplatz 05,3232,18.07.2022 18:43,331
711,Packplatz 01,4063,18.07.2022 19:40,298
358,Packplatz 10,8866,18.07.2022 20:42,353
320,Packplatz 04,8423,18.07.2022 15:11,31
708,Packplatz 08,8291,18.07.2022 18:06,499
471,Packplatz 02,3786,18.07.2022 18:24,418
848,Packplatz 08,9055,18.07.2022 19:36,424
833,Packplatz 02,3010,18.07.2022 20:55,316
129,Packplatz 10,7567,18.07.2022 16:41,331
519,Packplatz 10,2494,18.07.2022 19:55,218
452,Packplatz 10,2092,18.07.2022 20:22,386
342,Packplatz 08,2380,18.07.2022 20:01,435
775,Packplatz 02,8936,18.07.2022 23:44,70
209,Packplatz 01,4550,18.07.2022 19:12,231
435,Packplatz 03,9850,18.07.2022 23:18,141
