Auftragsnummer,Versand_ID,Verladestart,Verladeende,Versand_SOLL
5550,81,18.07.2022 23:27,18.07.2022 23:30,18.07.2022 23:57
2863,43,18.07.2022 19:52,18.07.2022 23:23,18.07.2022 20:22
8102,69,19.07.2022 01:00,19.07.2022 03:21,19.07.2022 01:30
9643,94,18.07.2022 19:50,18.07.2022 21:09,18.07.2022 20:20
2758,59,18.07.2022 22:39,18.07.2022 22:50,18.07.2022 23:09
1591,26,18.07.2022 20:47,18.07.2022 21:54,18.07.2022 21:17
9417,39,18.07.2022 19:21,18.07.2022 23:09,18.07.2022 19:51
2750,71,19.07.2022 00:02,19.07.2022 03:14,19.07.2022 00:32
2722,96,18.07.2022 20:58,19.07.2022 00:36,18.07.2022 21:28
4723,43,18.07.2022 20:32,18.07.2022 23:35,18.07.2022 21:02
9934,54,18.07.2022 21:21,19.07.2022 00:58,18.07.2022 21:51
4408,96,18.07.2022 21:26,18.07.2022 21:39,18.07.2022 21:56
5312,57,18.07.2022 19:43,18.07.2022 20:36,18.07.2022 20:13
9615,42,18.07.2022 20:12,18.07.2022 20:28,18.07.2022 20:42
2361,46,18.07.2022 20:16,18.07.2022 23:57,18.07.2022 20:46
8434,76,18.07.2022 20:35,18.07.2022 21:03,18.07.2022 21:05
2710,56,19.07.2022 01:23,19.07.2022 01:42,19.07.2022 01:53
1417,86,18.07.2022 21:44,19.07.2022 00:33,18.07.2022 22:14
9628,37,18.07.2022 21:24,19.07.2022 01:13,18.07.2022 21:54
8990,29,19.07.2022 01:21,19.07.2022 03:30,19.07.2022 01:51
9941,40,18.07.2022 23:00,18.07.2022 23:48,18.07.2022 23:30
1268,58,18.07.2022 23:39,19.07.2022 03:22,19.07.2022 00:09
6985,29,18.07.2022 20:44,18.07.2022 22:07,18.07.2022 21:14
2963,38,18.07.2022 22:17,19.07.2022 00:46,18.07.2022 22:47
2972,35,18.07.2022 22:10,18.07.2022 22:37,18.07.2022 22:40
1795,84,18.07.2022 21:55,18.07.2022 23:13,18.07.2022 22:25
4664,59,18.07.2022 22:12,18.07.2022 22:54,18.07.2022 22:42
3720,70,18.07.2022 21:53,18.07.2022 23:20,18.07.2022 22:23
1138,81,18.07.2022 20:57,19.07.2022 00:40,18.07.2022 21:27
2734,54,19.07.2022 00:31,19.07.2022 04:16,19.07.2022 01:01
9550,11,19.07.2022 02:14,19.07.2022 04:19,19.07.2022 02:44
6331,86,18.07.2022 22:35,19.07.2022 02:29,18.07.2022 23:05
7164,19,18.07.2022 22:18,19.07.2022 01:25,18.07.2022 22:48
5224,41,18.07.2022 21:48,18.07.2022 22:38,18.07.2022 22:18
7228,41,18.07.2022 22:27,18.07.2022 23:24,18.07.2022 22:57
1573,65,18.07.2022 23:16,19.07.2022 00:00,18.07.2022 23:46
5572,61,18.07.2022 18:32,18.07.2022 21:12,18.07.2022 19:02
4724,50,18.07.2022 23:30,18.07.2022 23:51,19.07.2022 00:00
7608,18,18.07.2022 21:51,18.07.2022 23:59,18.07.2022 22:21
6162,24,18.07.2022 20:06,18.07.2022 21:13,18.07.2022 20:36
8988,25,19.07.2022 00:07,19.07.2022 00:50,19.07.2022 00:37
4883,19,18.07.2022 21:39,18.07.2022 23:55,18.07.2022 22:09
9562,18,18.07.2022 23:18,18.07.2022 23:31,18.07.2022 23:48
6766,38,18.07.2022 18:07,18.07.2022 18:10,18.07.2022 18:37
4753,97,18.07.2022 22:56,19.07.2022 00:58,18.07.2022 23:26
6162,86,18.07.2022 21:08,18.07.2022 22:57,18.07.2022 21:38
6583,75,18.07.2022 23:04,19.07.2022 01:08,18.07.2022 23:34
4782,56,18.07.2022 22:32,19.07.2022 02:32,18.07.2022 23:02
1236,61,18.07.2022 23:48,19.07.2022 03:14,19.07.2022 00:18
