Auftragsnummer,Versand_ID,Verladestart,Verladeende,Versand_SOLL,Lagereinheit_ID,Packplatz,Packzeitpunkt,Menge,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt
1005,82,18.07.2022 22:24,19.07.2022 01:41,18.07.2022 22:54,492,Packplatz 10,18.07.2022 21:08,388,Wareneingang,Hochregallager,2022-07-18 11:04:00,2022-07-18 14:40:00
1005,82,18.07.2022 22:24,19.07.2022 01:41,18.07.2022 22:54,492,Packplatz 10,18.07.2022 21:08,388,Hochregallager,Packplatz,2022-07-18 19:23:00,2022-07-18 21:20:00
1010,39,18.07.2022 21:55,18.07.2022 23:10,18.07.2022 22:25,644,Packplatz 01,18.07.2022 20:49,402,Wareneingang,Hochregallager,2022-07-18 02:50:00,2022-07-18 04:47:00
1010,39,18.07.2022 21:55,18.07.2022 23:10,18.07.2022 22:25,644,Packplatz 01,18.07.2022 20:49,402,Hochregallager,Packplatz,2022-07-18 19:17:00,2022-07-18 19:38:00
1054,20,18.07.2022 23:04,19.07.2022 03:04,18.07.2022 23:34,978,Packplatz 09,18.07.2022 22:35,34,Wareneingang,Hochregallager,2022-07-18 15:30:00,2022-07-18 19:28:00
1054,20,18.07.2022 23:04,19.07.2022 03:04,18.07.2022 23:34,978,Packplatz 09,18.07.2022 22:35,34,Hochregallager,Packplatz,2022-07-18 18:40:00,2022-07-18 19:56:00
1055,85,18.07.2022 18:22,18.07.2022 21:40,18.07.2022 18:52,853,Packplatz 02,18.07.2022 16:40,254,Wareneingang,Hochregallager,2022-07-18 08:32:00,2022-07-18 11:14:00
1055,85,18.07.2022 18:22,18.07.2022 21:40,18.07.2022 18:52,853,Packplatz 02,18.07.2022 16:40,254,Hochregallager,Packplatz,2022-07-18 10:17:00,2022-07-18 13:38:00
1065,63,18.07.2022 22:01,18.07.2022 22:57,18.07.2022 22:31,977,Packplatz 07,18.07.2022 20:52,104,Wareneingang,Hochregallager,2022-07-18 02:30:00,2022-07-18 03:09:00
1065,63,18.07.2022 22:01,18.07.2022 22:57,18.07.2022 22:31,977,Packplatz 07,18.07.2022 20:52,104,Hochregallager,Packplatz,2022-07-18 16:58:00,2022-07-18 18:35:00
1070,44,18.07.2022 23:05,18.07.2022 23:33,18.07.2022 23:35,270,Packplatz 03,18.07.2022 21:46,288,Wareneingang,Hochregallager,2022-07-18 00:44:00,2022-07-18 02:12:00
1070,44,18.07.2022 23:05,18.07.2022 23:33,18.07.2022 23:35,270,Packplatz 03,18.07.2022 21:46,288,Hochregallager,Packplatz,2022-07-18 18:39:00,2022-07-18 18:50:00
1075,44,18.07.2022 19:54,18.07.2022 23:50,18.07.2022 20:24,763,Packplatz 09,18.07.2022 17:31,77,Hochregallager,Packplatz,2022-07-18 10:49:00,2022-07-18 14:12:00
1075,44,18.07.2022 19:54,18.07.2022 23:50,18.07.2022 20:24,763,Packplatz 09,18.07.2022 17:31,77,Wareneingang,Hochregallager,2022-07-18 11:35:00,2022-07-18 14:27:00
1081,17,18.07.2022 20:36,18.07.2022 22:46,18.07.2022 21:06,375,Packplatz 02,18.07.2022 17:04,173,Wareneingang,Hochregallager,2022-07-18 09:12:00,2022-07-18 12:57:00
1081,17,18.07.2022 20:36,18.07.2022 22:46,18.07.2022 21:06,375,Packplatz 02,18.07.2022 17:04,173,Hochregallager,Packplatz,2022-07-18 15:46:00,2022-07-18 17:15:00
1084,68,19.07.2022 00:01,19.07.2022 00:57,19.07.2022 00:31,439,Packplatz 04,18.07.2022 22:55,129,Wareneingang,Hochregallager,2022-07-18 11:51:00,2022-07-18 15:51:00
1084,68,19.07.2022 00:01,19.07.2022 00:57,19.07.2022 00:31,439,Packplatz 04,18.07.2022 22:55,129,Hochregallager,Packplatz,2022-07-18 20:49:00,2022-07-18 22:47:00
1097,96,18.07.2022 22:34,18.07.2022 22:56,18.07.2022 23:04,679,Packplatz 06,18.07.2022 22:02,150,Hochregallager,Packplatz,2022-07-18 13:34:00,2022-07-18 16:45:00
1097,96,18.07.2022 22:34,18.07.2022 22:56,18.07.2022 23:04,679,Packplatz 06,18.07.2022 22:02,150,Wareneingang,Hochregallager,2022-07-18 17:25:00,2022-07-18 18:03:00
