case_id,process_activity,Auftragsnummer,Versand_ID,Verladestart,Verladeende,Versand_SOLL,Lagereinheit_ID,Packplatz,Packzeitpunkt,Menge,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt,Verspaetung,Lagerort
82,Ware vereinnahmen,1005,82,18.07.2022 22:24,19.07.2022 01:41,18.07.2022 22:54,492,Packplatz 10,18.07.2022 21:08,388,Wareneingang,Hochregallager,2022-07-18 11:04:00,2022-07-18 14:40:00,True,Wareneingang
82,Waren lagern,1005,82,18.07.2022 22:24,19.07.2022 01:41,18.07.2022 22:54,492,Packplatz 10,18.07.2022 21:08,388,Hochregallager,Hochregallager,2022-07-18 14:40:00,2022-07-18 19:23:00,True,Hochregallager
82,Waren kommissionieren,1005,82,18.07.2022 22:24,19.07.2022 01:41,18.07.2022 22:54,492,Packplatz 10,18.07.2022 21:08,388,Hochregallager,Packplatz,2022-07-18 19:23:00,2022-07-18 21:20:00,True,Packplatz
82,Waren im Warenausgang,1005,82,18.07.2022 22:24,19.07.2022 01:41,18.07.2022 22:54,492,Packplatz 10,18.07.2022 21:08,388,Packplatz,Warenausgang,2022-07-18 21:20:00,2022-07-18 22:24:00,True,Warenausgang
82,Waren verladen,1005,82,18.07.2022 22:24,19.07.2022 01:41,18.07.2022 22:54,492,Packplatz 10,18.07.2022 21:08,388,Warenausgang,Transportmittel,2022-07-18 22:24:00,2022-07-19 01:41:00,True,Transportmittel
39,Ware vereinnahmen,1010,39,18.07.2022 21:55,18.07.2022 23:10,18.07.2022 22:25,644,Packplatz 01,18.07.2022 20:49,402,Wareneingang,Hochregallager,2022-07-18 02:50:00,2022-07-18 04:47:00,True,Wareneingang
39,Waren lagern,1010,39,18.07.2022 21:55,18.07.2022 23:10,18.07.2022 22:25,644,Packplatz 01,18.07.2022 20:49,402,Hochregallager,Hochregallager,2022-07-18 04:47:00,2022-07-18 19:17:00,True,Hochregallager
39,Waren kommissionieren,1010,39,18.07.2022 21:55,18.07.2022 23:10,18.07.2022 22:25,644,Packplatz 01,18.07.2022 20:49,402,Hochregallager,Packplatz,2022-07-18 19:17:00,2022-07-18 19:38:00,True,Packplatz
39,Waren im Warenausgang,1010,39,18.07.2022 21:55,18.07.2022 23:10,18.07.2022 22:25,644,Packplatz 01,18.07.2022 20:49,402,Packplatz,Warenausgang,2022-07-18 19:38:00,2022-07-18 21:55:00,True,Warenausgang
39,Waren verladen,1010,39,18.07.2022 21:55,18.07.2022 23:10,18.07.2022 22:25,644,Packplatz 01,18.07.2022 20:49,402,Warenausgang,Transportmittel,2022-07-18 21:55:00,2022-07-18 23:10:00,True,Transportmittel
20,Ware vereinnahmen,1054,20,18.07.2022 23:04,19.07.2022 03:04,18.07.2022 23:34,978,Packplatz 09,18.07.2022 22:35,34,Wareneingang,Hochregallager,2022-07-18 15:30:00,2022-07-18 19:28:00,True,Wareneingang
20,Waren lagern,1054,20,18.07.2022 23:04,19.07.2022 03:04,18.07.2022 23:34,978,Packplatz 09,18.07.2022 22:35,34,Hochregallager,Hochregallager,2022-07-18 19:28:00,2022-07-18 18:40:00,True,Hochregallager
20,Waren kommissionieren,1054,20,18.07.2022 23:04,19.07.2022 03:04,18.07.2022 23:34,978,Packplatz 09,18.07.2022 22:35,34,Hochregallager,Packplatz,2022-07-18 18:40:00,2022-07-18 19:56:00,True,Packplatz
