case_id,process_activity,Auftragsnummer,Menge,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt,Verspaetung,Lagerort
82,Ware vereinnahmen,1005,388,Wareneingang,Hochregallager,2022-07-18 11:04:00,2022-07-18 14:40:00,True,Wareneingang
82,Waren lagern,1005,388,Hochregallager,Hochregallager,2022-07-18 14:40:00,2022-07-18 19:23:00,True,Hochregallager
82,Waren kommissionieren,1005,388,Hochregallager,Packplatz,2022-07-18 19:23:00,2022-07-18 21:20:00,True,Packplatz
82,Waren im Warenausgang,1005,388,Packplatz,Warenausgang,2022-07-18 21:20:00,2022-07-18 22:24:00,True,Warenausgang
82,Waren verladen,1005,388,Warenausgang,Transportmittel,2022-07-18 22:24:00,2022-07-19 01:41:00,True,Transportmittel
39,Ware vereinnahmen,1010,402,Wareneingang,Hochregallager,2022-07-18 02:50:00,2022-07-18 04:47:00,True,Wareneingang
39,Waren lagern,1010,402,Hochregallager,Hochregallager,2022-07-18 04:47:00,2022-07-18 19:17:00,True,Hochregallager
39,Waren kommissionieren,1010,402,Hochregallager,Packplatz,2022-07-18 19:17:00,2022-07-18 19:38:00,True,Packplatz
39,Waren im Warenausgang,1010,402,Packplatz,Warenausgang,2022-07-18 19:38:00,2022-07-18 21:55:00,True,Warenausgang
39,Waren verladen,1010,402,Warenausgang,Transportmittel,2022-07-18 21:55:00,2022-07-18 23:10:00,True,Transportmittel
20,Ware vereinnahmen,1054,34,Wareneingang,Hochregallager,2022-07-18 15:30:00,2022-07-18 19:28:00,True,Wareneingang
20,Waren lagern,1054,34,Hochregallager,Hochregallager,2022-07-18 19:28:00,2022-07-18 18:40:00,True,Hochregallager
20,Waren kommissionieren,1054,34,Hochregallager,Packplatz,2022-07-18 18:40:00,2022-07-18 19:56:00,True,Packplatz
20,Waren im Warenausgang,1054,34,Packplatz,Warenausgang,2022-07-18 19:56:00,2022-07-18 23:04:00,True,Warenausgang
20,Waren verladen,1054,34,Warenausgang,Transportmittel,2022-07-18 23:04:00,2022-07-19 03:04:00,True,Transportmittel
85,Ware vereinnahmen,1055,254,Wareneingang,Hochregallager,2022-07-18 08:32:00,2022-07-18 11:14:00,True,Wareneingang
85,Waren lagern,1055,254,Hochregallager,Hochregallager,2022-07-18 11:14:00,2022-07-18 10:17:00,True,Hochregallager
85,Waren kommissionieren,1055,254,Hochregallager,Packplatz,2022-07-18 10:17:00,2022-07-18 13:38:00,True,Packplatz
85,Waren im Warenausgang,1055,254,Packplatz,Warenausgang,2022-07-18 13:38:00,2022-07-18 18:22:00,True,Warenausgang
